label,kode_gedung,nama_lokasi,provinsi,kawasan,area,alamat_lokasi,peruntukan,kab_kota,witel,kelas_berbayar,luasan_berbayar,keterangan,histori,simpan,id
3213200401 - GMP BANDUNG - OFFICE,3213200401,GMP BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 1,"25,255.24",AKTIF,,,ID001883
3213200401A - GMP BANDUNG - OFFICE,3213200401A,GMP BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 2,"6,792.27",AKTIF,,,ID001884
3213200401B - GMP BANDUNG - OFFICE,3213200401B,GMP BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 3,"3,554.45",AKTIF,,,ID001885
3213200401C - GMP BANDUNG - POP ETC,3213200401C,GMP BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",POP ETC,KOTA BANDUNG,BANDUNG,KELAS 3,438.51,AKTIF,,,ID001886
3213200401D - GMP BANDUNG - OFFICE,3213200401D,GMP BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,"1,976.41",AKTIF,,,ID001887
3213200401E - GMP BANDUNG - RUANG IBADAH,3213200401E,GMP BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",RUANG IBADAH,KOTA BANDUNG,BANDUNG,KELAS 4,"1,461.51",AKTIF,,,ID001888
3213200401F - GMP BANDUNG - SARANA OLAHRAGA,3213200401F,GMP BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",SARANA OLAHRAGA,KOTA BANDUNG,BANDUNG,KELAS 5,356.96,AKTIF,,,ID001889
3213200403 - GUDANG GMP BANDUNG - GUDANG,3213200403,GUDANG GMP BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",GUDANG,KOTA BANDUNG,BANDUNG,KELAS 5,"2,943.25",AKTIF,,,ID001890
3213200404 - GEDUNG KOSONG GMP BANDUNG - IDLE,3213200404,GEDUNG KOSONG GMP BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",IDLE,KOTA BANDUNG,BANDUNG,KELAS 4,"1,448.66",AKTIF,,,ID001891
3213200405 - GMP BANDUNG - UTILITY,3213200405,GMP BANDUNG,JAWA BARAT,BANDUNG,TR3,"JL. JAPATI NO. 1, BANDUNG KOTA",UTILITY,KOTA BANDUNG,BANDUNG,KELAS 5,"8,910.41",AKTIF,,,ID001892
3213200701 - PLASA SUMEDANG - OFFICE,3213200701,PLASA SUMEDANG,JAWA BARAT,BANDUNG,TR3,"JL. PRABU GEUTAN ULUN NO. 5, KEL. KOTA KULON, KEC. SUMEDANG SELATAN, KAB. SUMEDANG",OFFICE,KAB. SUMEDANG,BANDUNG,KELAS 4,46.76,AKTIF,,,ID001893
3213200702 - GUDANG PLASA SUMEDANG - GUDANG,3213200702,GUDANG PLASA SUMEDANG,JAWA BARAT,BANDUNG,TR3,"JL. PRABU GEUTAN ULUN NO. 5, KEL. KOTA KULON, KEC. SUMEDANG SELATAN, KAB. SUMEDANG",GUDANG,KAB. SUMEDANG,BANDUNG,KELAS 5,5.28,AKTIF,,,ID001894
3213200703 - GEDUNG KOSONG PLASA SUMEDANG - IDLE,3213200703,GEDUNG KOSONG PLASA SUMEDANG,JAWA BARAT,BANDUNG,TR3,"JL. PRABU GEUTAN ULUN NO. 5, KEL. KOTA KULON, KEC. SUMEDANG SELATAN, KAB. SUMEDANG",IDLE,KAB. SUMEDANG,BANDUNG,KELAS 4,245.35,AKTIF,,,ID001895
3213200801 - RUMDIN TENGKU ANGKASA - OFFICE,3213200801,RUMDIN TENGKU ANGKASA,JAWA BARAT,BANDUNG,TR3,JL. TENGKU ANGKASA BANDUNG,OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,444.35,AKTIF,,,ID001896
3213200802 - RUMDIN TENGKU ANGKASA - UTILITY,3213200802,RUMDIN TENGKU ANGKASA,JAWA BARAT,BANDUNG,TR3,JL. TENGKU ANGKASA BANDUNG,UTILITY,KOTA BANDUNG,BANDUNG,KELAS 5,17.55,AKTIF,,,ID001897
3213200901 - RUMDIN WASTUKENCANA - OFFICE,3213200901,RUMDIN WASTUKENCANA,JAWA BARAT,BANDUNG,TR3,"JL. WASTUKENCANA NO. 45, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 2,717.17,AKTIF,,,ID001898
3213200902 - RUMDIN WASTUKENCANA - UTILITY,3213200902,RUMDIN WASTUKENCANA,JAWA BARAT,BANDUNG,TR3,"JL. WASTUKENCANA NO. 45, BANDUNG KOTA",UTILITY,KOTA BANDUNG,BANDUNG,KELAS 5,4.41,AKTIF,,,ID001899
3213201001 - PLASA / STO CIJAURA - OFFICE,3213201001,PLASA / STO CIJAURA,JAWA BARAT,BANDUNG,TR3,"JL. CIWASTRA NO. 245, KEL. MARGASARI, KEC. MARGACINTA, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,550.23,AKTIF,,,ID001900
3213201002 - GEDUNG KOSONG CIJAURA - IDLE,3213201002,GEDUNG KOSONG CIJAURA,JAWA BARAT,BANDUNG,TR3,"JL. CIWASTRA NO. 245, KEL. MARGASARI, KEC. MARGACINTA, KAB. BANDUNG",IDLE,KAB. BANDUNG,BANDUNG,KELAS 4,117.78,AKTIF,,,ID001901
3213201003 - HALAMAN STO CIJAURA - HALAMAN,3213201003,HALAMAN STO CIJAURA,JAWA BARAT,BANDUNG,TR3,"JL. CIWASTRA NO. 245, KEL. MARGASARI, KEC. MARGACINTA, KAB. BANDUNG",HALAMAN,KAB. BANDUNG,BANDUNG,KELAS 6,932.28,AKTIF,,,ID001902
3213201101 - STO HEGARMANAH - OFFICE,3213201101,STO HEGARMANAH,JAWA BARAT,BANDUNG,TR3,"JL. SETIABUDI NO. 32, GEGERKALONG, SUKASARI, BANDUNG KOTA",OFFICE,KOTA BANDUNG,BANDUNG,KELAS 4,298.82,AKTIF,,,ID001903
3213201102 - HALAMAN STO HEGARMANAH - HALAMAN,3213201102,HALAMAN STO HEGARMANAH,JAWA BARAT,BANDUNG,TR3,"JL. SETIABUDI NO. 32, GEGERKALONG, SUKASARI, BANDUNG KOTA",HALAMAN,KOTA BANDUNG,BANDUNG,KELAS 6,594.17,AKTIF,,,ID001904
3213201201 - PLASA / STO KOPO - OFFICE,3213201201,PLASA / STO KOPO,JAWA BARAT,BANDUNG,TR3,"JL. KOPO SAYATI NO. 182, RT. 05/03, KEL. MARGAHAYU, KEC. MARGAHAYU, KAB. BANDUNG",OFFICE,KAB. BANDUNG,BANDUNG,KELAS 4,684.27,AKTIF,,,ID001905
