LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
3213205202 - GEDUNG D - OFFICE,3213205202,GEDUNG D,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 2,"1,920.07",AKTIF,ID001937
3213205204 - GEDUNG J LABORATORIUM - OFFICE,3213205204,GEDUNG J LABORATORIUM,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 2,"1,059.12",AKTIF,ID001939
3213205215 - RUMAH DINAS 1 ADMINISTRASI - OFFICE,3213205215,RUMAH DINAS 1 ADMINISTRASI,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 2,364.99,AKTIF,ID001949
3213205217 - GEDUNG MSC - OFFICE,3213205217,GEDUNG MSC,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 2,627.19,AKTIF,ID001951
3213205221 - GEDUNG F KELAS - OFFICE,3213205221,GEDUNG F KELAS,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 2,"1,231.98",AKTIF,ID001955
3213205223 - GEDUNG H ADMINISTRASI - OFFICE,3213205223,GEDUNG H ADMINISTRASI,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 2,"1,231.98",AKTIF,ID001957
3213205233 - IDEC BANDUNG GD. UTAMA - OFFICE,3213205233,IDEC BANDUNG GD. UTAMA,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 2,"5,790.30",AKTIF,ID001966
3213205234 - IDEC BANDUNG GD. MENARA - OFFICE,3213205234,IDEC BANDUNG GD. MENARA,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 2,"7,838.00",AKTIF,ID001967
3213205203 - GEDUNG HARMONIZE - OFFICE,3213205203,GEDUNG HARMONIZE,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 3,"1,277.01",AKTIF,ID001938
3213205205 - GEDUNG K LABORATORIUM - OFFICE,3213205205,GEDUNG K LABORATORIUM,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 3,"2,118.02",AKTIF,ID001940
3213205206 - GEDUNG M1 ADMINISTRASI - OFFICE,3213205206,GEDUNG M1 ADMINISTRASI,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 3,300.00,AKTIF,ID001941
3213205207 - GEDUNG M2 ADMINISTRASI - OFFICE,3213205207,GEDUNG M2 ADMINISTRASI,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 3,"3,663.97",AKTIF,ID001942
3213205208 - GEDUNG N ADMINISTRASI - OFFICE,3213205208,GEDUNG N ADMINISTRASI,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 3,"3,038.03",AKTIF,ID001943
3213205211 - GEDUNG TOW & TOA - OFFICE,3213205211,GEDUNG TOW & TOA,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 3,965.54,AKTIF,ID001946
3213205216 - RUMAH DINAS 3 ADMINISTRASI - OFFICE,3213205216,RUMAH DINAS 3 ADMINISTRASI,JAWA BARAT,TR3,"JL. GEGERKALONG HILIR NO. 47, BANDUNG KOTA",OFFICE,KOTA BANDUNG,KAWASAN CORPU,KELAS 3,290.00,AKTIF,ID001950
