LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
2143200101 - PLASA / WITEL BOGOR - OFFICE,2143200101,PLASA / WITEL BOGOR,JAWA BARAT,TR2,"JL. RAYA PAJAJARAN NO. 37, KEL. CILIBENDE, KEC. BOGOR TENGAH, BOGOR KOTA",OFFICE,KOTA BOGOR,PRIANGAN BARAT,KELAS 2,"9,791.41",AKTIF,,,ID001452
2143200102 - GUDANG WITEL BOGOR - GUDANG,2143200102,GUDANG WITEL BOGOR,JAWA BARAT,TR2,"JL. RAYA PAJAJARAN NO. 37, KEL. CILIBENDE, KEC. BOGOR TENGAH, BOGOR KOTA",GUDANG,KOTA BOGOR,PRIANGAN BARAT,KELAS 5,"1,801.97",AKTIF,,,ID001453
2143200103 - GEDUNG KOSONG WITEL BOGOR - IDLE,2143200103,GEDUNG KOSONG WITEL BOGOR,JAWA BARAT,TR2,"JL. RAYA PAJAJARAN NO. 37, KEL. CILIBENDE, KEC. BOGOR TENGAH, BOGOR KOTA",IDLE,KOTA BOGOR,PRIANGAN BARAT,KELAS 4,518.05,AKTIF,,,ID001454
2143200104 - WITEL BOGOR - UTILITY,2143200104,WITEL BOGOR,JAWA BARAT,TR2,"JL. RAYA PAJAJARAN NO. 37, KEL. CILIBENDE, KEC. BOGOR TENGAH, BOGOR KOTA",UTILITY,KOTA BOGOR,PRIANGAN BARAT,KELAS 5,280.10,AKTIF,,,ID001455
2143200201 - MSC CIBINONG - OFFICE,2143200201,MSC CIBINONG,JAWA BARAT,TR2,"JL. RAYA NAROGONG KM. 26,5, KELAPA NUNGGAL, CILEUNGSI, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 3,"1,243.07",AKTIF,,,ID001456
2143200202 - GUDANG MSC CIBINONG - GUDANG,2143200202,GUDANG MSC CIBINONG,JAWA BARAT,TR2,"JL. RAYA NAROGONG KM. 26,5, KELAPA NUNGGAL, CILEUNGSI, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,860.85,AKTIF,,,ID001457
2143200301 - PLASA CIBINONG - OFFICE,2143200301,PLASA CIBINONG,JAWA BARAT,TR2,"JL. TEGAR BERIMAN NO. 7, RT. 004 / 004, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 3,"2,063.09",AKTIF,,,ID001458
2143200302 - GUDANG PLASA CIBINONG - GUDANG,2143200302,GUDANG PLASA CIBINONG,JAWA BARAT,TR2,"JL. TEGAR BERIMAN NO. 7, RT. 004 / 004, KAB. BOGOR",GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,152.10,AKTIF,,,ID001459
2143200303 - GEDUNG KOSONG PLASA CIBINONG - IDLE,2143200303,GEDUNG KOSONG PLASA CIBINONG,JAWA BARAT,TR2,"JL. TEGAR BERIMAN NO. 7, RT. 004 / 004, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,350.25,AKTIF,,,ID001460
2143200304 - PLASA CIBINONG - UTILITY,2143200304,PLASA CIBINONG,JAWA BARAT,TR2,"JL. TEGAR BERIMAN NO. 7, RT. 004 / 004, KAB. BOGOR",UTILITY,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,85.20,AKTIF,,,ID001461
2143200401 - GEDUNG KOSONG PLASA DEPOK BEJI - IDLE,2143200401,GEDUNG KOSONG PLASA DEPOK BEJI,JAWA BARAT,TR2,"JL. RAYA KARTINI NO. 17, KEL. PANCORAN MAS, DEPOK KOTA",IDLE,KOTA DEPOK,PRIANGAN BARAT,KELAS 4,317.52,AKTIF,,,ID001462
2143200402 - PLASA DEPOK - UTILITY,2143200402,PLASA DEPOK,JAWA BARAT,TR2,"JL. RAYA KARTINI NO. 17, KEL. PANCORAN MAS, DEPOK KOTA",UTILITY,KOTA DEPOK,PRIANGAN BARAT,KELAS 5,39.60,AKTIF,,,ID001463
2143200403 - HALAMAN PLASA DEPOK - HALAMAN,2143200403,HALAMAN PLASA DEPOK,JAWA BARAT,TR2,"JL. RAYA KARTINI NO. 17, KEL. PANCORAN MAS, DEPOK KOTA",HALAMAN,KOTA DEPOK,PRIANGAN BARAT,KELAS 6,"1,376.00",AKTIF,,,ID001464
2143200501 - PLASA PARUNG - OFFICE,2143200501,PLASA PARUNG,JAWA BARAT,TR2,"JL. RAYA PARUNG, KEL. PARUNG, KEC. PARUNG, KAB. BOGOR",OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,275.59,AKTIF,,,ID001465
2143200502 - GEDUNG KOSONG PLASA PARUNG - IDLE,2143200502,GEDUNG KOSONG PLASA PARUNG,JAWA BARAT,TR2,"JL. RAYA PARUNG, KEL. PARUNG, KEC. PARUNG, KAB. BOGOR",IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,192.42,AKTIF,,,ID001466
2143200503 - PLASA PARUNG - UTILITY,2143200503,PLASA PARUNG,JAWA BARAT,TR2,"JL. RAYA PARUNG, KEL. PARUNG, KEC. PARUNG, KAB. BOGOR",UTILITY,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,44.44,AKTIF,,,ID001467
2143200601 - SROM GUNUNG GEULIS - OFFICE,2143200601,SROM GUNUNG GEULIS,JAWA BARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,OFFICE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,187.16,AKTIF,,,ID001468
2143200602 - GUDANG SROM GUNUNG GEULIS - GUDANG,2143200602,GUDANG SROM GUNUNG GEULIS,JAWA BARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,GUDANG,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,46.27,AKTIF,,,ID001469
2143200603 - GEDUNG KOSONG GUNUNG GEULIS - IDLE,2143200603,GEDUNG KOSONG GUNUNG GEULIS,JAWA BARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,IDLE,KAB. BOGOR,PRIANGAN BARAT,KELAS 4,191.55,AKTIF,,,ID001470
2143200604 - SROM GUNUNG GEULIS - UTILITY,2143200604,SROM GUNUNG GEULIS,JAWA BARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,UTILITY,KAB. BOGOR,PRIANGAN BARAT,KELAS 5,29.54,AKTIF,,,ID001471
2143200605 - HALAMAN SROM GUNUNG GEULIS - HALAMAN,2143200605,HALAMAN SROM GUNUNG GEULIS,JAWA BARAT,TR2,GUNUNG GEULIS KEC. SUKARAJA KAB. BOGOR,HALAMAN,KAB. BOGOR,PRIANGAN BARAT,KELAS 6,"4,576.87",AKTIF,,,ID001472
2143200701 - STO BOGOR CENTRUM - OFFICE,2143200701,STO BOGOR CENTRUM,JAWA BARAT,TR2,"JL. PENGADILAN NO. 14, KEC, BOGOR TENGAH, BOGOR KOTA",OFFICE,KOTA BOGOR,PRIANGAN BARAT,KELAS 3,"3,658.52",AKTIF,,,ID001473
