LABEL,KODE GEDUNG,NAMA LOKASI,PROVINSI,AREA,ALAMAT LOKASI,PERUNTUKAN,KAB/KOTA,WITEL,KELAS BERBAYAR,LUASAN BERBAYAR,KETERANGAN,HISTORI,SIMPAN,ID
3233200101 - WITEL CIREBON / STO CIREBON - OFFICE,3233200101,WITEL CIREBON / STO CIREBON,JAWA BARAT,TR3,"JL. PAGONGAN NO. 11, RT. 02/04, KEL. PEKALANGAN, KEC. PEKALIPAN. CIREBON KOTA",OFFICE,KOTA CIREBON,PRIANGAN TIMUR,KELAS 2,"5,438.28",AKTIF,,,ID002023
3233200102 - GUDANG WITEL CIREBON - GUDANG,3233200102,GUDANG WITEL CIREBON,JAWA BARAT,TR3,"JL. PAGONGAN NO. 11, RT. 02/04, KEL. PEKALANGAN, KEC. PEKALIPAN. CIREBON KOTA",GUDANG,KOTA CIREBON,PRIANGAN TIMUR,KELAS 5,114.15,AKTIF,,,ID002024
3233200103 - GEDUNG KOSONG WITEL CIREBON - IDLE,3233200103,GEDUNG KOSONG WITEL CIREBON,JAWA BARAT,TR3,"JL. PAGONGAN NO. 11, RT. 02/04, KEL. PEKALANGAN, KEC. PEKALIPAN. CIREBON KOTA",IDLE,KOTA CIREBON,PRIANGAN TIMUR,KELAS 4,449.91,AKTIF,,,ID002025
3233200104 - WITEL CIREBON - UTILITY,3233200104,WITEL CIREBON,JAWA BARAT,TR3,"JL. PAGONGAN NO. 11, RT. 02/04, KEL. PEKALANGAN, KEC. PEKALIPAN. CIREBON KOTA",UTILITY,KOTA CIREBON,PRIANGAN TIMUR,KELAS 5,283.69,AKTIF,,,ID002026
3233200201 - EKS CATEL HAURGEULIS - OFFICE,3233200201,EKS CATEL HAURGEULIS,JAWA BARAT,TR3,"JL. JEND SUDIRMAN NO.16, KAB. INDRAMAYU",OFFICE,KAB. INDRAMAYU,PRIANGAN TIMUR,KELAS 4,311.61,AKTIF,,,ID002027
3233200202 - EKS CATEL HAURGEULIS - UTILITY,3233200202,EKS CATEL HAURGEULIS,JAWA BARAT,TR3,"JL. JEND SUDIRMAN NO.16, KAB. INDRAMAYU",UTILITY,KAB. INDRAMAYU,PRIANGAN TIMUR,KELAS 5,18.00,AKTIF,,,ID002028
3233200203 - HALAMAN EKS CATEL HAURGEULIS - HALAMAN,3233200203,HALAMAN EKS CATEL HAURGEULIS,JAWA BARAT,TR3,"JL. JEND SUDIRMAN NO.16, KAB. INDRAMAYU",HALAMAN,KAB. INDRAMAYU,PRIANGAN TIMUR,KELAS 6,645.50,AKTIF,,,ID002029
3233200301 - GUDANG YOS SODARSO - OFFICE,3233200301,GUDANG YOS SODARSO,JAWA BARAT,TR3,"JL. KEBUMEN NO. 40, CIREBON KOTA",OFFICE,KOTA CIREBON,PRIANGAN TIMUR,KELAS 5,334.88,AKTIF,,,ID002030
3233200302 - GUDANG YOS SUDARSO - GUDANG,3233200302,GUDANG YOS SUDARSO,JAWA BARAT,TR3,"JL. KEBUMEN NO. 40, CIREBON KOTA",GUDANG,KOTA CIREBON,PRIANGAN TIMUR,KELAS 5,392.75,AKTIF,,,ID002031
3233200303 - GUDANG YOS SODARSO - UTILITY,3233200303,GUDANG YOS SODARSO,JAWA BARAT,TR3,"JL. KEBUMEN NO. 40, CIREBON KOTA",UTILITY,KOTA CIREBON,PRIANGAN TIMUR,KELAS 5,7.70,AKTIF,,,ID002032
